Tp,Hs,Uw,Op,D
2,0.004384774,1,1,1.76E-09
2,0.004384774,1,2,NaN
2,0.004384774,2,1,1.5E-06
2,0.004384774,2,2,5.71E-10
2,0.004384774,3,1,1.9E-07
2,0.004384774,3,2,4.53E-10
2,0.004384774,4,1,1.81E-06
2,0.004384774,4,2,4.12E-10
2,0.004384774,5,1,2.65E-06
2,0.004384774,5,2,4.33E-10
2,0.004384774,6,1,1.99E-05
2,0.004384774,6,2,4.06E-10
2,0.004384774,7,1,2.24E-05
2,0.004384774,7,2,3.01E-10
2,0.004384774,8,1,3.71E-05
2,0.004384774,8,2,3.68E-10
2,0.004384774,9,1,5.7E-05
2,0.004384774,9,2,2.57E-10
2,0.004384774,10,1,1.08E-04
2,0.004384774,10,2,2.17E-10
2,0.004384774,11,1,0.00140781
2,0.004384774,11,2,2.98E-10
2,0.004384774,12,1,0.001287252
2,0.004384774,12,2,3.08E-10
2,0.004384774,13,1,3.73E-05
2,0.004384774,13,2,3.04E-10
2,0.004384774,14,1,2.21E-05
2,0.004384774,14,2,2.68E-10
2,0.004384774,15,1,2.12E-05
2,0.004384774,15,2,2.83E-10
2,0.004384774,16,1,2.23E-05
2,0.004384774,16,2,5.17E-10
2,0.004384774,17,1,3.51E-05
2,0.004384774,17,2,7.14E-10
2,0.004384774,18,1,3.52E-05
2,0.004384774,18,2,1.24E-09
2,0.004384774,19,1,3.77E-05
2,0.004384774,19,2,2.25E-09
2,0.004384774,20,1,4.06E-05
2,0.004384774,20,2,3.99E-09
2,0.004384774,21,1,4.33E-05
2,0.004384774,21,2,5.93E-09
2,0.004384774,22,1,4.6E-05
2,0.004384774,22,2,8.52E-09
2,0.004384774,23,1,5.54E-05
2,0.004384774,23,2,1.33E-08
2,0.004384774,24,1,6.48E-05
2,0.004384774,24,2,2.56E-08
2,0.004384774,25,1,7.02E-05
2,0.004384774,25,2,3.64E-08
2,0.008769523,1,1,1.76E-09
2,0.008769523,1,2,NaN
2,0.008769523,2,1,1.52E-06
2,0.008769523,2,2,6.78E-10
2,0.008769523,3,1,1.9E-07
2,0.008769523,3,2,4.54E-10
2,0.008769523,4,1,1.82E-06
2,0.008769523,4,2,4.13E-10
2,0.008769523,5,1,2.65E-06
2,0.008769523,5,2,4.34E-10
2,0.008769523,6,1,1.98E-05
2,0.008769523,6,2,4.08E-10
2,0.008769523,7,1,2.24E-05
2,0.008769523,7,2,3.02E-10
2,0.008769523,8,1,3.71E-05
2,0.008769523,8,2,3.69E-10
2,0.008769523,9,1,5.7E-05
2,0.008769523,9,2,2.57E-10
2,0.008769523,10,1,1.08E-04
2,0.008769523,10,2,2.17E-10
2,0.008769523,11,1,0.001407684
2,0.008769523,11,2,NaN
2,0.008769523,12,1,0.001287222
2,0.008769523,12,2,3.09E-10
2,0.008769523,13,1,3.73E-05
2,0.008769523,13,2,3.04E-10
2,0.008769523,14,1,2.21E-05
2,0.008769523,14,2,2.68E-10
2,0.008769523,15,1,2.12E-05
2,0.008769523,15,2,2.84E-10
2,0.008769523,16,1,2.23E-05
2,0.008769523,16,2,5.17E-10
2,0.008769523,17,1,3.51E-05
2,0.008769523,17,2,7.14E-10
2,0.008769523,18,1,3.52E-05
2,0.008769523,18,2,1.24E-09
2,0.008769523,19,1,3.77E-05
2,0.008769523,19,2,2.25E-09
2,0.008769523,20,1,4.06E-05
2,0.008769523,20,2,3.99E-09
2,0.008769523,21,1,4.33E-05
2,0.008769523,21,2,5.92E-09
2,0.008769523,22,1,4.6E-05
2,0.008769523,22,2,8.52E-09
2,0.008769523,23,1,5.53E-05
2,0.008769523,23,2,1.33E-08
