Tp,Hs,Uw,Op
4.32,0.95,7.915,1
5.26,1,6.87833333333333,1
4.98,0.95,7.68333333333333,1
5.57,1.03,8.19833333333333,1
5.49,1.04,7.06,1
5.61,1.12,6.94166666666667,1
5.3,1.19,6.54166666666667,1
5.46,1.06,6.285,1
5.55,1.2,6.87833333333333,1
5.88,1.23,7.14,1
6.48,1.08,6.6,1
6.53,1.02,6.02666666666667,1
6.57,0.94,4.63,1
6.84,0.91,3.48333333333333,1
6.58,0.89,3.22666666666667,1
7.06,0.78,2.66,2
6.26,0.76,3.56166666666667,1
6.06,0.7,3.04333333333333,1
5.62,0.68,3.655,1
5.49,0.75,3.89166666666667,1
5.1,0.84,3.185,1
5.05,0.82,2.62666666666667,2
5.33,0.9,2.12666666666667,2
5.46,0.84,2.01666666666667,2
5.68,0.82,0.775,2
5.85,0.73,0.376666666666667,2
5.99,0.65,2.18333333333333,2
6.1,0.54,1.07666666666667,2
5.95,0.58,1.095,2
5.84,0.56,1.17,2
5.34,0.52,1.28,2
4.85,0.52,1.62833333333333,2
8.38,0.48,1.35,2
8.42,0.49,1.04333333333333,2
8.14,0.48,1.355,2
4.28,0.48,2.82166666666667,2
4.04,0.61,4.24,1
3.84,0.58,6.07333333333333,1
4.7,0.63,7.18,1
8.68,0.63,7.65,1
3.44,0.66,7.99666666666667,1
3.24,0.71,7.90166666666667,1
3.66,0.77,8.66166666666667,1
3.98,0.84,8.57,1
4.5,0.89,7.965,1
4.52,0.96,7.44,1
4.73,1.02,6.86166666666667,1
4.9,1,6.60666666666667,1
4.92,1.09,6.44,1
5.28,1.1,5.00666666666667,1
5.69,1.18,5.20166666666667,1
6.35,1.21,5.19166666666667,1
6.08,1.42,5.35,1
6.47,1.26,5.045,1
6.48,1.16,4.93,1
5.98,1.18,4.77833333333333,1
6.24,1.11,3.95833333333333,1
6.24,1.16,4.14833333333333,1
6.39,1.08,3.475,1
6.24,1.07,6.38666666666667,1
6.23,1.16,4.44,1
6.2,1.12,3.03333333333333,1
6.2,0.98,1.84666666666667,2
6.36,0.94,3.515,1
6.43,0.86,3.52,1
6.19,0.87,4.2,1
6.2,0.8,3.975,1
5.87,0.77,5.30166666666667,1
6.08,0.76,5.46333333333333,1
5.84,0.8,4.58666666666667,1
5.83,0.78,4.01833333333333,1
5.53,0.79,4.04,1
5.45,0.75,4.165,1
4.52,0.73,4.05166666666667,1
4.8,0.77,4.02166666666667,1
5.49,0.83,4.34333333333333,1
4.81,0.83,4.215,1
4.81,0.78,4.47,1
5.26,0.75,4.735,1
5.31,0.81,3.97666666666667,1
4.9,0.79,4.54833333333333,1
7.97,0.85,5.895,1
6.26,0.8,5.22666666666667,1
6.07,0.79,4.67833333333333,1
4.72,0.78,4.96,1
5.23,0.75,4.285,1
7.44,0.73,2.89333333333333,2
7.35,0.66,1.57166666666667,2
4.92,0.7,0.898333333333333,2
7.4,0.74,0.85,2
7.69,0.65,0.566666666666667,2
7.54,0.64,2.14333333333333,2
7.04,0.51,3.07833333333333,1
7.28,0.5,4.04333333333333,1
6.72,0.57,4.19833333333333,1
4.48,0.56,4.48333333333333,1
6.63,0.52,5.075,1
6.83,0.56,4.76666666666667,1
7.07,0.52,5.07,1
7.25,0.53,5.80333333333333,1
7.12,0.52,4.84666666666667,1
